code,town,resTotal,resRL,resFL,resFRPL,resELL,resSpEd,fiscTotal,fiscRL,fiscFL,fiscFRPL,fiscELL,fiscSpEd,techHS,charter,fiscNone
78,MANSFIELD ,1966,103,322,425,56,259,1937,103,316,419,56,255,28,,1
79,MARLBOROUGH ,1198,23,59,82,3,134,1187,23,58,81,3,132,9,1,1
80,MERIDEN ,9657,681,5658,6339,1050,1439,9089,650,5449,6099,1042,1420,565,2,1
81,MIDDLEBURY ,1351,12,75,87,10,177,1337,12,74,86,10,176,5,,9
82,MIDDLEFIELD ,699,15,36,51,1,118,683,15,36,51,1,116,16,,
83,MIDDLETOWN ,5489,329,2021,2350,168,640,5239,315,1939,2254,167,630,183,5,62
84,MILFORD ,6963,332,1166,1498,118,859,6724,327,1143,1470,118,849,130,2,107
85,MONROE ,3547,77,160,237,18,388,3538,77,160,237,18,386,9,,
86,MONTVILLE ,2638,249,646,895,95,312,2525,241,622,863,93,302,91,22,
87,MORRIS ,341,10,28,38,5,47,338,10,28,38,5,46,3,,
88,NAUGATUCK ,4937,496,1714,2210,190,629,4700,484,1657,2141,190,619,206,,31
89,NEW BRITAIN ,11780,925,8289,9214,1788,1777,11140,894,7887,8781,1743,1750,411,1,228
90,NEW CANAAN ,4240,,3,#VALUE!,33,407,4227,,3,3,33,407,,,13
91,NEW FAIRFIELD ,2808,84,203,287,30,304,2729,83,196,279,29,293,32,,47
92,NEW HARTFORD ,1142,44,67,111,5,111,1118,44,63,107,5,109,16,4,4
93,NEW HAVEN ,20821,1506,15133,16639,2733,2534,18039,1228,13457,14685,2571,2379,447,1816,519
94,NEWINGTON ,4455,203,566,769,147,564,4396,201,557,758,146,557,22,,37
95,NEW LONDON ,3919,306,2746,3052,761,670,3542,269,2558,2827,711,630,255,122,
96,NEW MILFORD ,4687,293,679,972,122,628,4526,283,622,905,121,613,88,,73
97,NEWTOWN ,5259,106,252,358,16,430,5209,106,245,351,16,424,46,,4
98,NORFOLK ,230,7,18,25,,30,225,7,17,24,,29,4,,1
99,NORTH BRANFORD ,2196,107,211,318,16,300,2163,106,211,317,16,297,33,,
100,NORTH CANAAN ,443,19,87,106,3,60,441,19,86,105,3,60,2,,
101,NORTH HAVEN ,3584,175,285,460,53,374,3529,173,282,455,53,370,29,,26
102,NORTH STONINGTON ,793,27,119,146,,76,775,26,118,144,,74,14,1,3
103,NORWALK ,11552,1028,4322,5350,1326,1286,11182,1007,4240,5247,1313,1268,3,200,167
104,NORWICH ,5990,496,2900,3396,605,955,5351,443,2636,3079,569,898,184,281,174
105,OLD LYME ,1166,14,59,73,15,138,1158,14,59,73,15,138,5,,3
106,OLD SAYBROOK ,1500,82,177,259,21,228,1477,82,176,258,21,228,6,,17
107,ORANGE ,2441,34,58,92,25,249,2432,34,57,91,25,248,8,1,
108,OXFORD ,2182,40,118,158,29,173,2154,39,115,154,29,170,27,,1
109,PLAINFIELD ,2599,210,942,1152,20,324,2395,206,875,1081,20,314,160,,44
110,PLAINVILLE ,2403,138,478,616,93,342,2359,136,462,598,92,331,44,,
111,PLYMOUTH ,1902,117,371,488,8,263,1802,112,352,464,8,256,87,,13
112,POMFRET ,684,18,61,79,2,75,675,18,59,77,2,73,9,,
113,PORTLAND ,1450,48,187,235,20,139,1417,48,181,229,20,136,32,,1
114,PRESTON ,657,30,69,99,12,85,592,27,59,86,8,81,31,18,16
115,PROSPECT ,1526,68,131,199,23,190,1493,67,129,196,23,188,33,,
116,PUTNAM ,1341,118,631,749,30,198,1186,109,578,687,30,183,46,,109
117,REDDING ,1716,19,52,71,10,222,1663,19,52,71,10,220,2,,51
118,RIDGEFIELD ,5309,32,128,160,50,463,5273,32,128,160,50,463,1,,35
119,ROCKY HILL ,2651,69,182,251,102,239,2588,69,180,249,101,232,29,1,33
120,ROXBURY ,268,1,12,13,,32,265,1,12,13,,32,3,,
121,SALEM ,716,21,53,74,4,66,700,21,50,71,4,64,13,3,
122,SALISBURY ,406,22,38,60,2,47,386,22,35,57,2,45,1,4,15
123,SCOTLAND ,258,13,43,56,,47,209,13,34,47,,44,34,,15
124,SEYMOUR ,2460,168,478,646,62,261,2381,165,460,625,62,255,75,1,3
125,SHARON ,242,16,34,50,,43,242,16,34,50,,43,,,
126,SHELTON ,5366,268,871,1139,200,621,5256,264,846,1110,198,607,104,3,3
127,SHERMAN ,581,5,33,38,1,81,574,4,32,36,1,77,7,,
128,SIMSBURY ,4550,75,251,326,51,519,4542,75,248,323,51,519,6,2,
129,SOMERS ,1588,57,30,87,7,176,1563,57,30,87,7,172,10,,15
130,SOUTHBURY ,2826,27,105,132,11,361,2796,27,102,129,11,354,22,,8
131,SOUTHINGTON ,6879,221,735,956,120,859,6741,217,720,937,119,843,92,,46
132,SOUTH WINDSOR ,4436,118,318,436,99,574,4362,115,315,430,99,562,34,3,37
133,SPRAGUE ,508,30,151,181,2,45,447,28,141,169,2,41,26,5,30
134,STAFFORD ,1838,115,416,531,11,205,1739,110,391,501,11,199,82,,17
135,STAMFORD ,15780,1342,6717,8059,2002,1623,15440,1321,6511,7832,2002,1576,1,248,91
136,STERLING ,710,33,204,237,3,100,662,31,193,224,3,96,48,,
137,STONINGTON ,2474,105,371,476,14,317,2417,103,364,467,14,305,35,2,20
138,STRATFORD ,7635,909,2346,3255,284,774,7361,887,2274,3161,283,763,139,13,122
